Material,Material Description,Location,Limitations
407,AUDIO AMP (S/N),Madison,
417,"AMP,AUDIO CONTROL PANEL",Madison,
419,AUDIO AMP (S/N),Madison,
437,"AMPLIFIER, AUDIO CONTROL",Madison,
50930,VALVE-SLAVE MASTER CYLINDER MIXER,Madison,
473155,"TESTER,FLAME DETECTOR",Madison,
3024084,"FILTER ELEMENT, OIL",Madison,
3029267,"FILTER ELEMENT, INTAKE AIR CLEANER",Madison,
3029315,OIL FILTER,Madison,
3036376,OIL FILTER,Madison,
3038142,FILTER ELEMENT - COMPRESSOR,Madison,
5002289,"HOUSING,BRAKE",Madison,
5005358,"SHIELD,HEAT",Madison,
5008886,PRESSURE PLATE SUB-ASSY,Madison,
5008887,STATIONARY DISK ASSY,Madison,
5010703,FLANGE-DEMOUNTABLE,Madison,
01-0770239-01,STROBE ASSY RED,Madison,
01-0770239-02,STROBE ASSY GREEN,Madison,
01-0790080-00,POWER SUPPLY ASSY,Madison,
01-0790111-00,LIGHT ASSY,Madison,
100-364189-601,PANEL (S/N),Madison,
100-364217-15,PCB ASSEMBLY,Madison,
100-364217-9,MODULE ASSY-ANNUN FAULT DETECTION,Madison,
100-364295-3,CONTROL ASSY-WINDSHIELD ANTI-ICE,Madison,
100-364310-1,SIGN ASSY-SEAT BELT WARNING,Madison,
100-369012-3,STARTER GENERATOR,Madison,
100-384040-3,FLAP MOTOR,Madison,
100-384079-3,"INDICATOR, PROPELLER TACHOMETER",Madison,
100-384085-1,IND-DCV METER,Madison,
100-384087-1,CABIN TEMP,Madison,
100-384088-3,INDICATOR,Madison,
100-384088-5,INDICATOR-CABIN ALTITUDE & DIFF PRESSURE,Madison,
100-384092-3,IND-PNEUMATIC PRES,Madison,
100-384093-1,FLAP POS.IND.,Madison,
100-384093-3,INDICATOR-FLAP POSITION,Madison,
100-384095-1,"INDICATOR-AC VOLT,FREQUENCY",Madison,
100-384118-14,"LIGHT ASSY-RH STROBE,NAV AND RECOG",Madison,
100-384118-15,"LIGHT ASSY-LH STROBE,W/ INT PWR SUPPLY",Madison,
100-384118-21,POWER SUPPLY-NAV LIGHT ASSY,Madison,
100-384118-25,"LIGHT ASSY-LH STROBE,W/ INT PWR SUPPLY",Madison,
100-384118-26,"LIGHT ASSY-RH STROBE,W/ INT PWR SUPPLY",Madison,
100-430060-1,DAMPENER ASSY - AIRSTAIR DOOR,Madison,
100-430060-27,DAMPENER ASSY - AIRSTAIR DOOR,Madison,
100-524074-1,GEARBOX ASSY,Madison,
100-820022-9,LINK ASSY-NOSE STEERING,Madison,
100LA2/S,"BLADE SET(3),PROPELLER,AIRCRAFT",Madison,
101-120023-41,"RIB,NACELLE,OB,RH",Madison,
101-130001-1,"AILERON ASSY,LH",Madison,
101-130001-325,"AILERON ASSY,LH",Madison,
101-130001-327,"AILERON ASSY,RH",Madison,
101-130001-626,"AILERON ASSY, RH",Madison,
101-130001-628,"AILERON ASSY, RH",Madison,
101-130003-121,"AILERON ASSY, RH",Madison,
101-160001-17,FLAP ASSY-CENTER SECT,Madison,
101-160001-2,FLAP ASSY-CENTER SECT,Madison,
101-160001-28,FLAP ASSY-CENTER SECT,Madison,
101-160001-44,FLAP ASSY-CENTER SECT,Madison,
101-340211-601,PANEL ASY-RADIO P,Madison,
101-341336-3,SWITCH-ELEV TRIM,Madison,
101-341534-9,PCB ASSY-28V MARKER LIGHT,Madison,
101-341542-9,CIRCUIT CARD ASSY,Madison,
101-342163-1,PC BOARD ASSY,Madison,
101-342181-3,PCB,Madison,
101-342181-5,pcb,Madison,
101-361054-1,PANEL ASSY (S/N),Madison,
101-361096-1,PCB - EXTERNAL POWER LIGHT,Madison,
101-361096-3,PCB - EXTERNAL POWER LIGHT,Madison,
101-361161-1,PCB-FREON PRESS,Madison,
101-361166-601,PANEL ASSY,Madison,
101-364086-7,PCB-FUEL TRANSFER,Madison,
101-364092-25,MODULE ASSY,Madison,
101-364246-23,POWER SUPPLY,Madison,
101-364246-27,POWER SUPPLY,Madison,
101-364261-7,MODULE ASSY (SN),Madison,
101-364261-9,MODULE ASSY,Madison,
101-364270-5,"CONTROL UNIT,DC GENERATOR",Madison,
101-364275-5,P.C.B A130,Madison,
101-364328-1,MODULE ASSY-ANNUNCIATOR FAULT DETECTION,Madison,
101-364388-5,MODULE ASSEM-BRAKE & ANNUNCIATOR,Madison,
101-364391-1,MODUL ASY-ANN CNTL,Madison,
101-364391-5,MODUL ASY-ANN CNTL,Madison,
101-364462-15,"BOX ASSY-CIRCUIT BREAKER, BATTERY BUS",Madison,
101-364462-7,"BOX ASSY-CIRCUIT BREAKER, BATTERY BUS",Madison,
101-364572-17,MODULE ASSY-ICE V SENS/N1 SPD/BATT MNTR,Madison,
101-364572-19,MODULE ASSY-ICE V SENS/N1 SPD/BATT MNTR,Madison,
101-364572-21,MODULE ASSY-N1 SPEED & ICE VANE SENSE,Madison,
101-364572-25,MODULE ASSY-N1 SPEED & ICE VANE SENSE,Madison,
101-364572-7,MODULE ASSY-ICE V SENS/N1 SPD/BATT MNTR,Madison,
101-364578-1,MODULE ASSY-ANNUNCIATOR CONTROL,Madison,
101-364578-7,MODULE ASSY-ANNUNCIATOR CONTROL,Madison,
101-364580-1,PCB-MODULE ASSY-ANNUN,Madison,
101-364580-11,MODULE ASSY,Madison,
101-364582-11,MODULE ASSY-ADVISORY L.T. & SURF. DEICE,Madison,
101-364582-13,MODULE ASSY-ADVISORY L.T. & SURF. DEICE,Madison,
101-364628-1,SWITCH ASSEMBLY - GEAR POS,Madison,
101-364715-1,"CIRCUIT CARD ASSY, BUS TIE CONTROL",Madison,
101-364798-51,"LIGHT ASSY-EXIT SIGN ASSY, EMERGENCY",Madison,
101-364798-637,EMERGENCY EXIT SIGN ASSY,Madison,
101-364798-639,EMERGENCY EXIT SIGN ASSY,Madison,
